title,location,url,description
Python Software Developer,"Sofia, BG, 1407",https://jobs.sap.com/job/Sofia-Python-Software-Developer-1407/1260739001/,
Business Processes Associate Consultant - Python Dev/ AI/ML_3-5 years_ Bangalore,"Pune, IN, 411014",https://jobs.sap.com/job/Pune-Business-Processes-Associate-Consultant-Python-Dev-AIML_3-5-years_-Bangalore-411014/1267652401/,
Working Student (f/m/d) - Software Engineer for SAP HANA Cloud Delivery,"Walldorf, DE, 69190",https://jobs.sap.com/job/Walldorf-Working-Student-%28fmd%29-Software-Engineer-for-SAP-HANA-Cloud-Delivery-69190/1270645401/,
Python and Golang Developer - AI Core Team,"Bangalore, IN, 560066",https://jobs.sap.com/job/Bangalore-Python-and-Golang-Developer-AI-Core-Team-560066/1265573101/,
"Senior Full Stack Developer (Python/Java/Go, Machine Learning/Knowledge Graphs) - SAP Labs Singapore","Singapore, SG, 117440",https://jobs.sap.com/job/Singapore-Senior-Full-Stack-Developer-%28PythonJavaGo%2C-Machine-LearningKnowledge-Graphs%29-SAP-Labs-Singapore-117440/1203157001/,
C++ Developer (f/m/d) for HANA Execution Engine,"Walldorf, DE, 69190",https://jobs.sap.com/job/Walldorf-C%2B%2B-Developer-%28fmd%29-for-HANA-Execution-Engine-69190/1274816901/,
Business Processes Associate Consultant AI/ML Python,"Pune, IN, 411014",https://jobs.sap.com/job/Pune-Business-Processes-Associate-Consultant-AIML-Python-411014/1265652101/,
(Senior) DevOps Engineer - Hyperscaler Engineering,"Shanghai, CN, 201203",https://jobs.sap.com/job/Shanghai-%28Senior%29-DevOps-Engineer-Hyperscaler-Engineering-201203/1245031001/,
Developer (Associate) (f/m/d) Platform Engineering,"Potsdam, DE, 14469",https://jobs.sap.com/job/Potsdam-Developer-%28Associate%29-%28fmd%29%C2%A0Platform-Engineering-14469/1277734601/,
Senior Product Specialist (Technical),"Bangalore, IN, 560066",https://jobs.sap.com/job/Bangalore-Senior-Product-Specialist-%28Technical%29-560066/1270317401/,
"Senior AI Python Developer - Product, Data & Technology - Tools India","Bangalore, IN, 560066",https://jobs.sap.com/job/Bangalore-Senior-AI-Python-Developer-Product%2C-Data-&-Technology-Tools-India-560066/1265988601/,
Senior Machine Learning Engineer -Bangalore,"Bangalore, KA, IN, 560066",https://jobs.sap.com/job/Bangalore-Senior-Machine-Learning-Engineer-Bangalore-KA-560066/1240231501/,
(Senior) Developer (f/m/d) Platform Engineering,"Potsdam, DE, 14469",https://jobs.sap.com/job/Potsdam-%28Senior%29-Developer-%28fmd%29-Platform-Engineering-14469/1277520001/,
Machine Learning Engineer - Application AI Apps Product Engineering,"Bangalore, KA, IN, 560066",https://jobs.sap.com/job/Bangalore-Machine-Learning-Engineer-Application-AI-Apps-Product-Engineering-KA-560066/1283175901/,
Principal Software Architect - Product Development,"Bangalore, KA, IN, 560066",https://jobs.sap.com/job/Bangalore-Principal-Software-Architect-Product-Development-KA-560066/1264077301/,
Working Student (f/m/d) - Develop Tools to improve support efficiency of SAP HANA Cloud,"Walldorf, DE, 69190",https://jobs.sap.com/job/Walldorf-Working-Student-%28fmd%29-Develop-Tools-to-improve-support-efficiency-of-SAP-HANA-Cloud-69190/1281508001/,
SAP Mexico Next Gen -  Software Development,"San Pedro Garza García, Nuevo Léon, MX, 66265",https://jobs.sap.com/job/San-Pedro-Garza-Garc%C3%ADa-SAP-Mexico-Next-Gen-%C2%A0-Software-Development-Nuev-66265/1275316501/,
Working Student (f/m/d) - Showcase Development - Services Marketing CS&D MEE,"St.Ingbert, DE, 66386+3 more…",https://jobs.sap.com/job/St_Ingbert-Working-Student-%28fmd%29-Showcase-Development-Services-Marketing-CS&D-MEE-66386/1278869301/,
Senior AI Developer,"Palo Alto, CA, US, 94304",https://jobs.sap.com/job/Palo-Alto-Senior-AI-Developer-CA-94304/1259272301/,
"Business Processes Associate Consultant_Python/Javascript/SQL_1-3 years_Devanahalli, Bangalore","Bangalore, IN, 560093",https://jobs.sap.com/job/Bangalore-Business-Processes-Associate-Consultant_PythonJavascriptSQL_1-3-years_Devanahalli%2C-Bangalore-560093/1277976801/,
SAP intern - AI Engineer,"Singapore, SG, 117440",https://jobs.sap.com/job/Singapore-SAP-intern-AI-Engineer-117440/1274575501/,
"Senior DevOps Engineer (IAC Infra Coding - GO, Python, GitOps, ArgoCD) / Signavio / Devanahalli","Bangalore, IN, 560066",https://jobs.sap.com/job/Bangalore-Senior-DevOps-Engineer-%28IAC-Infra-Coding-GO%2C-Python%2C-GitOps%2C-ArgoCD%29-Signavio-Devanahalli-560066/1183762201/,
Machine Learning Engineer - Application AI,"Bangalore, KA, IN, 560066",https://jobs.sap.com/job/Bangalore-Machine-Learning-Engineer-Application-AI-KA-560066/1264857201/,
SAP NS2 HANA Database Administrator -TS/SCI+ poly-onsite-MD,"Columbia, MD, US, 21046",https://jobs.sap.com/job/Columbia-SAP-NS2-HANA-Database-Administrator-TSSCI%2B-poly-onsite-MD-MD-21046/1260578601/,
SAP NS2 HANA Database Administrator -TS/SCI+ poly-onsite-MD,"Columbia, MD, US, 21046",https://jobs.sap.com/job/Columbia-SAP-NS2-HANA-Database-Administrator-TSSCI%2B-poly-onsite-MD-MD-21046/1260578501/,
